username,review_text,rating,at,appversion,sentiment,label_source,review_length
Abu karim aljabbar Mkatiksaidi,Ramah banget,5,2024-02-01 08:57:09,4.82.1,positive,rating_rule,12
Fathan Mubina,Setelah update kok nggak bisa dibuka,4,2024-01-31 15:20:04,4.82.1,positive,rating_rule,36
Nyauw Jin Fie,Good,5,2024-02-01 12:51:53,4.82.1,positive,rating_rule,4
Anton S.,Sangat membantu,5,2024-02-01 08:32:58,4.82.1,positive,rating_rule,15
Metalizm Studio,Pakai promo gocar Drivernya pada gk mau ambil Tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya Makanya daripada mengecewakan keduanya Diilangin aja,2,2024-02-01 12:34:43,4.82.1,negative,rating_rule,181
Rianto Efendi,Keren lah pokoknya,5,2024-01-31 16:43:16,4.82.1,positive,rating_rule,18
ruslan haviez,Mantab,5,2024-02-01 15:08:48,4.82.1,positive,rating_rule,6
DJ Yath,Aplikasi jelek mau login aja ribet,1,2024-02-02 09:03:24,4.82.1,negative,rating_rule,34
rama halim,Jangan pakai gopaylater dendanya 50000 jika telat  Dan bunga nya juga gede Ga kata dulu ya  Cuman dikenakan biaya admin saham kalo ini udah kaya pinjol,3,2024-02-02 03:51:03,4.82.1,neutral,rating_rule,151
tria,Aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl 2 feb 2024 dendanya 50 rb ga ngotak emang,1,2024-02-02 05:31:33,4.82.1,negative,rating_rule,109
Kadal Air,Mudah aman,4,2024-02-02 00:50:38,4.82.1,positive,rating_rule,10
Yul Faizah,Daftarnya susah  parah,1,2024-01-31 02:17:23,4.82.1,negative,rating_rule,22
Anton Sudarwo,Keren,5,2024-01-31 10:31:47,4.82.1,positive,rating_rule,5
Charli Charli,Cepat dapat Mantap,5,2024-02-01 15:19:18,4.82.1,positive,rating_rule,18
nofyarda nence,Lebih praktis sih lebih aman juga Aplikasinya sangat bermanfaat,5,2024-02-02 03:57:23,4.82.1,positive,rating_rule,63
Iffat Wildan Syakur Putra Amri,Pelayanan bagus,5,2024-01-31 10:12:14,4.82.1,positive,rating_rule,15
Kasiadi Yadiz,Sangat mudah dalam penggunaan dan aman,4,2024-02-02 05:42:22,4.82.1,positive,rating_rule,38
bustamin ahya,Baik,5,2024-02-01 18:05:37,4.82.1,positive,rating_rule,4
Jat Tfineven,Mesen gofood ribet banget Harga tertera 6xxx begitu pesen harus custom minimal 2 harga malah nambah 2x lipat ga jelass,1,2024-01-31 04:08:22,4.82.1,negative,rating_rule,118
Rashif Hadiyan,Memperbudak orang dengan sebuah sistem disaat kepepet harus update dahal  5 bulan ga update bisa di skip,1,2024-02-02 06:46:39,4.82.1,negative,rating_rule,104
Riza Tarigan,Mantap amanah,5,2024-02-02 07:32:59,4.82.1,positive,rating_rule,13
Muhammad Aulia Tefhis,Udah di update sama saja gak ada bedanya Koneksi gaada padahal kuota ada,2,2024-02-02 08:32:05,4.82.1,negative,rating_rule,72
Nikolaus Zaremba,Pertama applikasinya sangat bagus tidak ribet dan sangat mudah penggunaannya Kedua driverbikers nya komunikatif sopan dan selalu nengutamakan keselamatan penumpang dan dirinya sendiri Ketiga tarifnya tidak mahal dan mampu bersaing dengan disebelahnya,5,2024-01-31 05:28:02,4.82.1,positive,rating_rule,250
Mutiara Putri,Pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,1,2024-01-31 06:41:57,4.82.1,negative,rating_rule,232
Gibran Nugraha,Limit gopay pinjam u penguna baru kecil sekali cuma sampai 800k,1,2024-01-31 05:33:06,4.82.1,negative,rating_rule,63
Ayu Ferryna,sudah 1 blan gopaylater dibokir sdah bayar tepat wkt jga gak bisa dipakai tapi limit ditambah penyelesaian masalah tdk ada solusi gak ada gunanya siiih,2,2024-02-01 23:29:22,4.82.1,negative,rating_rule,151
Merry Lvna,Gak jelas aplikasinya  tiba2 masa gojek saya gak bisa digunakan Payahh padahal saya butuh bgt,5,2024-02-01 04:10:30,4.82.1,positive,rating_rule,93
lilis mulyanti,oke bos,5,2024-01-28 06:10:34,4.81.2,positive,rating_rule,7
Danis Yunita,Saldo gapay later masih banyak tetapi status diblokir tanpa pemberitahuan  Mau kasi bintang 5 ga jadi Kayak ga niat dan ga percaya kasi  Percuma dikasi tapi kita ga bisa gunakan,1,2024-01-28 09:42:11,4.81.2,negative,rating_rule,177
Sarwan Utomo,Terimakasih,5,2024-01-23 13:05:38,4.81.2,positive,rating_rule,11
diya ponsel,Susah di akses,3,2024-01-23 13:07:36,4.81.2,neutral,rating_rule,14
Rohani Kristen,GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,1,2024-01-23 13:19:41,4.81.2,negative,rating_rule,123
Kris Khans,Apl andalan,5,2024-01-27 21:16:39,4.81.2,positive,rating_rule,11
Yusup Fadila,Ko di aplikasi saya gomart nya tidak bisa pakai gopay latter padahal saya bayar selalu tepat waktu loh,3,2024-01-23 13:20:53,4.81.2,neutral,rating_rule,102
Dapa Ramdani,Semoga dapet bonuss banyak aamiin,4,2024-01-28 09:55:37,4.81.2,positive,rating_rule,33
MONCAH PVP,Ini apk apa gue mau pesen makan mala eror mulu,1,2024-01-27 21:54:55,4.81.2,negative,rating_rule,46
