theme,review_count,percentage_of_negative_reviews,representative_keywords,example_review_1,example_review_2,example_review_3
Other / uncategorized,1113,41.71664167916042,,Daftarnya susah  parah,Memperbudak orang dengan sebuah sistem disaat kepepet harus update dahal  5 bulan ga update bisa di skip,Udah di update sama saja gak ada bedanya Koneksi gaada padahal kuota ada
payment problems,576,21.58920539730135,"gopay, bayar, pembayaran, saldo, transfer, topup, top up, potong saldo",Aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl 2 feb 2024 dendanya 50 rb ga ngotak emang,Limit gopay pinjam u penguna baru kecil sekali cuma sampai 800k,sudah 1 blan gopaylater dibokir sdah bayar tepat wkt jga gak bisa dipakai tapi limit ditambah penyelesaian masalah tdk ada solusi gak ada gunanya siiih
driver availability,448,16.79160419790105,"driver, pengemudi, susah driver, cari driver, tidak dapat driver",Pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2
pricing,231,8.65817091454273,"mahal, harga, tarif, ongkir, biaya",Pakai promo gocar Drivernya pada gk mau ambil Tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya Makanya daripada mengecewakan keduanya Diilangin aja,Mesen gofood ribet banget Harga tertera 6xxx begitu pesen harus custom minimal 2 harga malah nambah 2x lipat ga jelass,Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2
application errors,226,8.470764617691154,"error, bug, lemot, lambat, lag, crash, gangguan, server, loading",Edit Jaringan bagus aplikasi sudah versi terbaru namun masih error untuk pemesanan gojek bisa namun untuk gofood tidak bisa tertulis error gps saya sudab aktif Sama kadang kalp agak jauhan muncul location not serviceable nah ini tolong di perluas lg jangkauan ny Gojek bisa knp gofood nggak,Aplikasi nya makin kacau tiap buka ke beranda selalu nge bug atau kembali sendiri padahal sinyal bagus,Saya bingung sering pakai tpi mengecewakanpesen makanan sudh diambil 30 menit lalu dichat dan telp driver ga ada respon aplikasi error Saya dirugikan pesanan lama pdhal nambah uang buat segera smpaiperbaiki sistemnya jawabnya juga lama sekali bantuan bad
account and login,140,5.247376311844078,"login, akun, otp, verifikasi, nomor hp, masuk akun",Aplikasi jelek mau login aja ribet,2 dulu karena Sudak ke sekian puluh kalinya update ke gopay plus gagal padahal sebelumya udah plus mau diupgrade gopay plus terbaru malah kembali ke premium pusing padahal aku gunakan untuk layanan goparter akujadi kacau balau akun goparter aku,Akun saya saldo gopaynya hilang Saya ngk ada bikin pesananjam 0100 pas sore saya buka akun gojek buat bayar belanjaan di alfa Ternyata saldo saya udah berkurang aja 30rb pesan gojekini bukan soal nominal tapi caranya apa apan kayak gini Saya ngak terima Pengiriman ke ewallet juga LAMA saya sudah menunggu satu hari Dan bayar 2x ke penjual Ini APK ga punya customer service apa bagaimana Beda sama ewallet terbaik lainnya
customer service,138,5.172413793103448,"customer service, cs, layanan pelanggan, komplain, laporan, bantuan",Status pesanan gofood stuck udah coba pakai wifi  data sama aja padahal internet lancar buat youtube dll udah coba restart hp sama aja aplikasi udah terbaru chat cs yg jawab bot sangat tidak recommended ini udah lewat estimasi loh hampir 1 jam nunggu dari estimasi 28 menit,Aplikasi yg TDK mau menerima keluhan customernya mau laporan dipersulit Aplikasi sampah,Akun saya saldo gopaynya hilang Saya ngk ada bikin pesananjam 0100 pas sore saya buka akun gojek buat bayar belanjaan di alfa Ternyata saldo saya udah berkurang aja 30rb pesan gojekini bukan soal nominal tapi caranya apa apan kayak gini Saya ngak terima Pengiriman ke ewallet juga LAMA saya sudah menunggu satu hari Dan bayar 2x ke penjual Ini APK ga punya customer service apa bagaimana Beda sama ewallet terbaik lainnya
promotions and vouchers,138,5.172413793103448,"promo, voucher, diskon, kupon, cashback",Pakai promo gocar Drivernya pada gk mau ambil Tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya Makanya daripada mengecewakan keduanya Diilangin aja,GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,Ini kenapa habis diupdate fitur melihat voucher gofood jadi gak ada
GPS or map issues,103,3.860569715142429,"gps, maps, map, lokasi, titik jemput, alamat",Masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai saya sudah share lokasi masa bisa jemput ny sampai jauh banget dari titik  tol diperbaiki bikin driver dan saya susah saja Maaf saya ksh bintang 1,Edit Jaringan bagus aplikasi sudah versi terbaru namun masih error untuk pemesanan gojek bisa namun untuk gofood tidak bisa tertulis error gps saya sudab aktif Sama kadang kalp agak jauhan muncul location not serviceable nah ini tolong di perluas lg jangkauan ny Gojek bisa knp gofood nggak,Maps digojek eror gajelas kasihan bapak Drivernya
cancellation,93,3.4857571214392804,"cancel, batal, dibatalkan, pembatalan",Setiap pembelian melalui gofood selalu lama kendala makan sudah disiapka Tp driver sampai 1jam gak dpt2 Pesanan tdk bs dibatalkan karena alasan pesanan sdh masuk resto jd harus menunggu yg batalkan dari pihak anda Sangat2 mengecewakan Ajng bngt,harga lebih mahal dan driver gojek selalu cancel perjalanan,Mau membatalkan pesanan eh malah suruh chat sama CS bot udah berkali2 ngajuin pembatalan tapi ngga dihubung2kan dengan CS manusia akun resto fake dan clonning restonya mah ada tapi akun yg saya order itu clonningan dr orang tak bertanggung jawab gimana cara jelasinnya kalo yang saya hadapi CS bot Nggak ada dana buat bayar admin CS
