review_text,actual_label,rating_if_available,predicted_label,prediction_confidence,error_type,flag_very_short,flag_mixed_sentiment,flag_negation,flag_slang,flag_repeated_characters,flag_emoji_heavy
Setelah update kok nggak bisa dibuka,positive,4,neutral,0.5268714772016642,positive predicted neutral,False,False,True,False,False,False
Jadi solusi banget saat ga ada waktu untuk keluar rumah,positive,5,negative,0.5973159862996178,positive predicted negative,False,False,True,False,False,False
Not yo bad,neutral,3,negative,0.49686159195480517,neutral predicted negative,False,False,False,False,False,False
Gimana cara nya TF tapi lupa pin Sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa semoga di balas,negative,1,neutral,0.5466378306594861,negative predicted neutral,False,True,False,False,True,False
mohon maaf iklanya dikurangi,negative,1,positive,0.5183960746842277,negative predicted positive,False,False,False,False,False,False
Gopaylater kena blokir hahah,positive,5,negative,0.6735683720505521,positive predicted negative,False,False,False,False,False,False
Tarifnya jangan makin mahal donk,positive,5,negative,0.5650610716621532,positive predicted negative,False,False,True,False,False,False
Untuk aplikasi gojek diperingan dong untuk android lollipop Os versi 5,negative,1,positive,0.44785939150368836,negative predicted positive,False,False,False,False,False,False
Aplikasi degan tarif mahalmasih mending maxim harga murahsaya klo transportasi pk maxim doang,negative,1,positive,0.49712189256483563,negative predicted positive,False,False,False,False,False,False
Gojek kenapa peta anda sering mengambil jalur yang tidak semestinya Kadang mutar lebih jauh kadang lewat jalur yang dari belakang tidak dapat dijangkau Tolong perbaiki ya sudah sering kejadian,neutral,3,negative,0.4884594598638038,neutral predicted negative,False,False,True,False,False,False
Untuk saat ini kenapa Gopay Later nya tidak bisa digunakan ya,positive,5,negative,0.6293670047651013,positive predicted negative,False,False,True,False,False,False
Bagus cepat,negative,2,positive,0.987385686485228,negative predicted positive,True,False,False,False,False,False
Gopinjaman tidak bisa dipakek percuma udh banyak top up,negative,1,neutral,0.45804412793441274,negative predicted neutral,False,False,True,True,False,False
G bisa d buka ni susah aplikasi Gojek nya knp ya,positive,5,negative,0.4435278510027789,positive predicted negative,False,False,False,False,False,False
Ongkir gofood makin mahal,neutral,3,negative,0.5991139862160652,neutral predicted negative,False,False,False,False,False,False
Aku kasih Bintang 3 karna tidak ada saldo gratis,neutral,3,negative,0.47475925935475893,neutral predicted negative,False,False,True,False,False,False
Knpa gopaylater saya gk bisa di pake percuma ada limit nya,positive,5,negative,0.5465617142103637,positive predicted negative,False,False,True,True,False,False
Kadang lama datang nya,positive,4,neutral,0.5329703101225243,positive predicted neutral,False,False,False,False,False,False
Susah mau upgrade ke gopay plus nya,neutral,3,negative,0.48012638665179197,neutral predicted negative,False,False,False,False,False,False
njumumnngumumin iuu,neutral,3,positive,0.6336164148383829,neutral predicted positive,True,False,False,False,False,False
Mehong,neutral,3,positive,0.6336164148383829,neutral predicted positive,True,False,False,False,False,False
Sy susah buka aplikasi Gojek ya,positive,5,neutral,0.3523856279238988,positive predicted neutral,False,False,False,False,False,False
Selalu sebel sama driver di go shop selalu pilih pilih oderan Bahkan banyak alesan bukan sekali dua kali tapi sering kaya gini Terus pelayan mereka lama Pada hal saya pakai go shop untuk keadaan darurat seperti beli obat,neutral,3,negative,0.8149565886089754,neutral predicted negative,False,True,True,False,False,False
Harganya kok naik ya,negative,1,positive,0.5466270586714196,negative predicted positive,False,False,False,False,False,False
Rugi banyak gajadi anter tp kepotong gede,negative,1,positive,0.4902124468452826,negative predicted positive,False,True,False,True,False,False
0 1,negative,1,positive,0.6336164148383829,negative predicted positive,True,False,False,False,False,False
Kenapa alpikasinya susah dibuka skrg ya,positive,5,neutral,0.8064005178404712,positive predicted neutral,False,False,False,False,False,False
Gojek  Mengapa riwayat perjalanan saya tidak ada notifikasinya ke email ya,positive,5,negative,0.4465546817186431,positive predicted negative,False,False,True,False,False,False
mau masuk ke akun gopay sya susah masuk nya tolong di bantu bos buat di proses,neutral,3,negative,0.5632167250994742,neutral predicted negative,False,False,False,False,False,False
kenapa gaada gotix di aplikasi saya,positive,5,neutral,0.8555336616418306,positive predicted neutral,False,False,False,False,False,False
Susah bngt nyari driver,neutral,3,negative,0.7463595309430846,neutral predicted negative,False,False,False,False,False,False
Kok Bis di buka,positive,5,negative,0.5105536305045724,positive predicted negative,False,False,False,False,False,False
Ganti gmail kok tidak bisa aneh mohon di perbaiki,negative,1,neutral,0.5956321810934604,negative predicted neutral,False,False,True,False,False,False
Lebih lancar dipembayaran pln pgn kartu halo semoga semakin berkembang pembayaran yang lain tidak hanya tokopedia tapi juga yang lainya,positive,5,negative,0.3695115069978689,positive predicted negative,False,True,True,False,False,False
Ulasan terbaru   maaf yah  Saya kecewa dgn aplikasi ini begitu setia nya saya beberapa tahun ini tidak ada pertimbangan nya dgn kesetiaan saya  email ga di bls  ga ada respon  saya mengajukan permohonan  sudah saya kecewa sekali gopaylater juga di blokir ya Allah  ulasan lama  Makin mantap kelengkapan nya  Transfortasi  makanan  pembayaran all  transf  pinjaman  Semuanya gampang dalam satu aplikasi  Alhamdulillah saya sudah dalam katagori  JURAGAN,positive,5,negative,0.8751072416089796,positive predicted negative,False,False,True,False,True,False
Bagus Kadang cancel gk konfimasi,positive,5,neutral,0.4470740964917521,positive predicted neutral,False,False,True,True,False,False
Program tidak seseru kompetitor,positive,5,negative,0.5664496068600647,positive predicted negative,False,False,True,False,False,False
Penjemputan tidak lama,positive,5,negative,0.6992490460305257,positive predicted negative,False,False,True,False,False,False
Ga tau disuruh temen,positive,5,negative,0.5025003329519696,positive predicted negative,False,False,True,False,False,False
Untuk gopay laternya nggak bisa di bayar lebih awal jadi b2 dulu nanti kalo bisa baru di kasih b5,negative,2,neutral,0.6805457463936969,negative predicted neutral,False,False,True,False,False,False
Buat Kalian yg suka pakai gopaylater jika update klik saja nanti soalnya klo di update tiba2 terblokir dan gak bisa di pakai lgi  Padahal selama ini sangat membantu dan bayarnya sllu tgl 28 padahal JT tgl 01,negative,1,neutral,0.3802157079437431,negative predicted neutral,False,True,True,False,False,False
Pelayanannya lambat dan ribetterutama buat gopay plus ga bisa ganti ke no baruga bisa hapus akun dan ganti ke no yang barumenyusahkan sekali proses nya,positive,5,negative,0.5858027373776464,positive predicted negative,False,False,True,False,False,False
Saya langganan gofood pluss biar gratis ongkir tapi kenapa ada biaya penanganan Sama aja jadinya kena ongkir gimanasih rugi,neutral,3,negative,0.6515455250645176,neutral predicted negative,False,True,False,False,False,False
