sentiment,term,score,rank
negative,buruk,2.2387470936934104,1
negative,lama,1.9560170356063669,2
negative,parah,1.9080828969393595,3
negative,ga,1.8662637292911082,4
negative,jelek,1.7901932305785468,5
negative,tidak,1.7303258244744535,6
negative,eror,1.7118482309375032,7
negative,bikin,1.7112386944908273,8
negative,sama,1.6070528827096282,9
negative,sinyal,1.591945824333528,10
negative,padahal,1.5339210189156847,11
negative,driver,1.5099321702713342,12
negative,gabisa,1.487270669075171,13
negative,makin,1.392685511629235,14
negative,gak,1.359253653296874,15
negative,pesen,1.3445347464037274,16
negative,gajelas,1.3443276840047036,17
negative,di,1.3314362240532178,18
negative,payah,1.3228771699951076,19
negative,jelas,1.29864275672903,20
negative,malah,1.296082778492081,21
negative,saldo,1.2808685096468484,22
negative,kecewa,1.2617346847232578,23
negative,sekarang,1.2394014581604387,24
negative,jam,1.2382875114761764,25
neutral,susah,1.9523032911256777,1
neutral,gonek,1.9221716626367351,2
neutral,gotix,1.8995325281117608,3
neutral,agak,1.890098264483853,4
neutral,gaada,1.8579220200195745,5
neutral,goridenya,1.7856507891615097,6
neutral,pa,1.7209262321325052,7
neutral,menyulitkan,1.7033075384986065,8
neutral,semoga makin,1.6870921516609678,9
neutral,so,1.6837831250148119,10
neutral,dulu,1.6806194842710462,11
neutral,sihh,1.6436132422142007,12
neutral,pesanan,1.6329629260219207,13
neutral,dong,1.627728158098018,14
neutral,driver oke,1.6206780562612453,15
neutral,bingung,1.6114578513748332,16
neutral,tak,1.5341601774267675,17
neutral,loding,1.5144792061363017,18
neutral,kalo,1.5120916540978002,19
neutral,akhir,1.4592061233706306,20
neutral,akhir akhir,1.4525906411760297,21
neutral,nunggu,1.4361802708409308,22
neutral,gocar hemat,1.4168932139730008,23
neutral,belum pernah,1.4145408115745806,24
neutral,jarang pakai,1.4080810033299127,25
positive,mantap,2.3629041176154613,1
positive,membantu,2.3546467652580882,2
positive,cepat,2.0464825064202947,3
positive,good,1.97730084309723,4
positive,ramah,1.5945545451676069,5
positive,bagus,1.4788178212363572,6
positive,terimakasih,1.4624560761640084,7
positive,baik,1.2729660646579979,8
positive,mudah,1.2648202534726316,9
positive,oke,1.2376786849518377,10
positive,memudahkan,1.222635706449461,11
positive,keren,1.2164914803831026,12
positive,sukses,1.2111724460191142,13
positive,sangat membantu,1.2068646407451522,14
positive,banyakin,1.1827436838319625,15
positive,tingkatkan,1.1527959991151033,16
positive,banyak promo,1.0765601995421108,17
positive,senang,1.0625935697163316,18
positive,ok,1.0575423881581096,19
positive,nyaman,1.0330140641292889,20
positive,alhamdulillah,1.02267813933398,21
positive,pokoknya,1.013236482789678,22
positive,aplikasi ini,1.001293053942191,23
positive,best,0.9921384992544384,24
positive,aman,0.9858525134677019,25
